#Rank,University,Town
269,The LNM Institute of Information Technology,Jaipur
270,Siddharth University,Kapilvastu
271,Makhanlal Chaturvedi Rashtriya Patrakarita Vishwavidyalaya,Bhopal ...
272,South Asian University,New Delhi
273,Institute of Chemical Technology,Mumbai
274,Central University of Kashmir,Srinagar
275,ITM University Raipur,Raipur
276,Ahmedabad University,Ahmedabad
277,Maharashtra University of Health Sciences,Nashik
278,Tamil Nadu Teacher Education University,Chennai
279,Alliance University,Bangalore
280,University of Gour Banga,Malda
281,Vikram University,Ujjain
282,National Law University,New Delhi
283,Vinoba Bhave University,Hazaribag
284,"National Law University, Jodhpur",Jodhpur
285,International Institute for Population Sciences,Mumbai
286,Tilka Manjhi Bhagalpur University,Bhagalpur
287,Gautam Buddha University,Greater Noida
288,Sri Ramachandra University,Chennai
289,TERI School of Advanced Studies,New Delhi
